Iteration,Steps,Time (ms),Rewards,Steps,Time (ms),Rewards,Steps,Time (ms),Rewards,,,,,,,,,,,,,Iteration,Steps,Time (ms),Rewards,Step,Time (ms),Rewards,Steps,Time (ms),Rewards
57,9,10,93,11,18,91,17,6,85,,,,,,,,,,,,,285,64,1879,38,78,-1174,24,109,276,-7
58,13,10,89,11,17,91,9,4,93,,,,,,,,,,,,,290,77,1891,25,58,-1120,44,123,278,-21
59,11,11,91,11,19,91,18,5,84,,,,,,,,,,,,,295,71,1939,31,69,-1034,33,310,312,-208
60,11,10,91,10,21,92,18,7,84,,,,,,,,,,,,,300,76,1940,26,67,-944,35,98,279,4
61,9,10,93,14,20,88,12,6,90,,,,,,,,,,,,,305,59,1990,43,80,-908,22,220,291,-118
62,12,9,90,11,20,91,22,8,80,,,,,,,,,,,,,310,67,2021,35,62,-891,40,100,277,2
63,14,12,88,9,37,93,11,8,91,,,,,,,,,,,,,315,61,2050,41,52,-813,50,195,269,-93
64,9,18,93,13,33,89,14,6,88,,,,,,,,,,,,,320,59,2090,43,64,-778,38,115,265,-13
65,12,14,90,11,21,91,13,7,89,,,,,,,,,,,,,325,52,2120,50,64,-710,38,231,298,-129
66,15,11,87,11,21,91,16,5,86,,,,,,,,,,,,,330,64,-2103,38,68,-607,34,98,259,4
67,9,14,93,11,24,91,17,6,85,,,,,,,,,,,,,335,70,-2101,32,51,-585,51,179,283,-77
68,15,13,87,12,21,90,10,7,92,,,,,,,,,,,,,340,70,-2082,32,58,-567,44,156,269,-54
69,10,12,92,17,23,85,15,13,87,,,,,,,,,,,,,345,65,-2058,37,66,-467,36,94,268,8
70,11,16,91,13,25,89,9,5,93,,,,,,,,,,,,,350,71,-2038,31,52,-455,50,376,266,-274
71,10,16,92,15,29,87,10,9,92,,,,,,,,,,,,,355,64,-2000,38,74,-354,28,199,280,-97
72,15,15,87,9,24,93,11,6,91,,,,,,,,,,,,,360,63,-1971,39,56,-247,46,181,332,-79
73,12,13,90,9,25,93,35,8,67,,,,,,,,,,,,,365,63,-1936,39,59,-228,43,153,392,-51
74,10,15,92,9,24,93,13,4,89,,,,,,,,,,,,,370,71,-1871,31,63,-39,39,165,320,-63
75,16,16,86,12,26,90,11,8,91,,,,,,,,,,,,,375,58,-1859,44,58,-125,44,163,301,-61
76,13,18,89,13,23,89,28,7,74,,,,,,,,,,,,,380,55,-1827,47,63,-103,39,108,301,-6
77,9,16,93,9,24,93,21,5,81,,,,,,,,,,,,,385,64,-1782,38,67,-40,35,180,296,-78
78,12,16,90,16,27,86,16,7,86,,,,,,,,,,,,,390,68,-1782,34,55,14,47,139,297,-37
79,11,18,91,15,28,87,25,4,77,,,,,,,,,,,,,395,64,-1663,38,66,66,36,130,285,-28
80,17,15,85,10,25,92,21,5,81,,,,,,,,,,,,,400,66,-1672,36,67,211,35,137,300,-35
81,11,12,91,12,24,90,17,4,85,,,,,,,,,,,,,405,53,-1608,49,49,208,53,116,364,-14
82,10,12,92,14,27,88,11,7,91,,,,,,,,,,,,,410,66,-1580,36,59,230,43,128,349,-26
83,16,11,86,15,46,87,30,6,72,,,,,,,,,,,,,415,56,-1566,46,60,337,42,261,325,-159
84,9,11,93,10,29,92,18,7,84,,,,,,,,,,,,,420,60,-1493,42,62,360,40,138,325,-36
85,10,15,92,9,29,93,12,7,90,,,,,,,,,,,,,425,64,-1440,38,65,431,37,186,345,-84
86,15,11,87,9,26,93,12,8,90,,,,,,,,,,,,,430,75,-1480,27,65,481,37,329,324,-227
87,16,13,86,11,30,91,12,7,90,,,,,,,,,,,,,435,57,-1370,45,58,667,44,230,315,-128
88,12,13,90,10,26,92,57,5,45,,,,,,,,,,,,,440,62,-1388,40,75,690,27,175,331,-73
89,10,13,92,9,27,93,9,4,93,,,,,,,,,,,,,445,54,-1412,48,63,594,39,128,329,-26
90,15,14,87,9,27,93,10,5,92,,,,,,,,,,,,,450,64,-1367,38,71,635,31,88,360,14
91,20,13,82,11,29,91,10,5,92,,,,,,,,,,,,,455,58,-1337,44,65,695,37,123,384,-21
92,9,17,93,10,28,92,18,4,84,,,,,,,,,,,,,460,60,-1297,42,61,791,41,204,333,-102
93,14,24,88,16,34,86,17,10,85,,,,,,,,,,,,,465,55,-1280,47,61,836,41,121,337,-19
94,11,18,91,9,31,93,19,13,83,,,,,,,,,,,,,470,63,-1212,39,61,906,41,144,390,-42
95,13,25,89,17,28,85,10,8,92,,,,,,,,,,,,,475,61,-1175,41,71,955,31,105,373,-3
96,13,21,89,9,28,93,12,6,90,,,,,,,,,,,,,480,77,-1166,25,63,978,39,179,335,-77
97,15,14,87,17,27,85,51,7,51,,,,,,,,,,,,,485,56,-1134,46,60,1020,42,144,344,-42
98,11,13,91,9,37,93,10,7,92,,,,,,,,,,,,,490,59,-1085,43,67,1185,35,117,360,-15
99,9,17,93,12,33,90,10,7,92,,,,,,,,,,,,,495,52,-1048,50,77,1178,25,147,380,-45
100,9,20,93,14,34,88,18,8,84,,,,,,,,,,,,,500,64,-1033,38,70,1267,32,179,375,-77
